k,n_weeks,mean_jac_fan_vs_percentage,std_jac_fan_vs_percentage,mean_jac_fan_vs_ranking,std_jac_fan_vs_ranking
1,335,0.5343283582089552,0.499566350512784,0.5223880597014925,0.5002457167258021
2,335,0.5850746268656717,0.36838120199464447,0.5940298507462687,0.3634556082194705
3,333,0.700900900900901,0.3005503472533773,0.7318318318318318,0.2784562790549502
4,314,0.789353958143767,0.26517078434548036,0.8427054898392478,0.20998553635052958
5,285,0.8364104706209968,0.23500982016094502,0.9119465329991646,0.15667858883034338
