season,week,celebrity_name,judge_share,audience_share,combined_share,final_rank_alt_pct,pred_eliminated_alt_pct,judge_total_score
1,1,Joey McIntyre,0.18348623853194176,0.2333942599462336,0.4168804984781754,1.0,0,20.0
1,1,John O'Hurley,0.18348623853194176,0.2333942599462336,0.4168804984781754,1.0,0,20.0
1,1,Rachel Hunter,0.18348623853194176,0.2333942599462336,0.4168804984781754,1.0,0,20.0
1,1,Evander Holyfield,0.16513761467874757,0.22611983137181524,0.3912574460505628,4.0,0,18.0
1,1,Kelly Monaco,0.11926605504576214,0.07369738878948397,0.1929634438352461,5.0,0,13.0
1,1,Trista Sutter,0.16513761467874757,0.0,0.16513761467874757,6.0,0,18.0
1,2,Joey McIntyre,0.17355371900812103,0.35972608264365025,0.5332798016517712,1.0,0,21.0
1,2,John O'Hurley,0.21487603305767367,0.15035089671749818,0.36522692977517185,2.0,0,26.0
1,2,Trista Sutter,0.15702479338829997,0.1949864412527626,0.35201123464106254,3.0,0,19.0
1,2,Evander Holyfield,0.11570247933874735,0.19987485542320838,0.3155773347619557,4.0,0,14.0
1,2,Rachel Hunter,0.1983471074378526,0.09506172396288058,0.2934088314007332,5.0,0,24.0
1,2,Kelly Monaco,0.14049586776847892,0.0,0.14049586776847892,6.0,1,17.0
1,3,John O'Hurley,0.22641509433940904,0.30231451608585175,0.5287296104252608,1.0,0,24.0
1,3,Joey McIntyre,0.20754716981112495,0.29802038834309785,0.5055675581542228,2.0,0,22.0
1,3,Rachel Hunter,0.24528301886769313,0.23380949687059543,0.4790925157382886,3.0,0,26.0
1,3,Evander Holyfield,0.12264150943384657,0.16585559870045496,0.2884971081343015,5.0,1,13.0
1,3,Kelly Monaco,0.19811320754698292,0.0,0.19811320754698292,5.0,0,21.0
1,4,John O'Hurley,0.22826086956496927,0.4018175087618215,0.6300783783267907,1.0,0,21.0
1,4,Rachel Hunter,0.2717391304344872,0.3472286396997899,0.6189677701342771,2.0,0,25.0
1,4,Joey McIntyre,0.2173913043475898,0.2509538515383886,0.4683451558859784,4.0,1,20.0
1,4,Kelly Monaco,0.28260869565186675,0.0,0.28260869565186675,4.0,0,26.0
1,5,John O'Hurley,0.36986301369812347,0.6257624433857064,0.9956254570838299,1.0,0,27.0
1,5,Joey McIntyre,0.3082191780817696,0.3742375566142936,0.6824567346960632,3.0,1,22.5
1,5,Kelly Monaco,0.3219178082187371,0.0,0.3219178082187371,3.0,0,23.5
1,6,John O'Hurley,0.4954128440357882,1.0,1.4954128440357883,2.0,1,27.0
1,6,Kelly Monaco,0.5045871559623769,0.0,0.5045871559623769,2.0,0,27.5
2,1,Lisa Rinna,0.09743589743584748,0.22579641426612693,0.3232323117019744,1.0,0,19.0
2,1,Stacy Keibler,0.11282051282045497,0.20452724985549237,0.31734776267594733,2.0,0,22.0
2,1,Tia Carrere,0.10256410256404998,0.14645572487878347,0.24901982744283346,3.0,0,20.0
2,1,Giselle Fernandez,0.11794871794865747,0.10226362492774618,0.22021234287640365,4.0,0,23.0
2,1,Tatum O'Neal,0.11794871794865747,0.10226362492774618,0.22021234287640365,4.0,0,23.0
2,1,Kenny Mayne,0.06666666666663248,0.11648906050887542,0.1831557271755079,6.0,0,13.0
