season,week,n_eliminated,hit_at_2,hit_at_3,boundary_margin
16,6,1,1.0,1.0,0.05009097269550472
16,7,1,1.0,1.0,0.20662628385215526
16,8,1,1.0,1.0,0.108939157032378
16,9,1,1.0,1.0,0.11973023405354041
16,10,3,1.0,0.6666666666666666,0.023301360165965734
17,2,1,1.0,1.0,0.006402441205474119
17,3,1,1.0,1.0,0.03016410774735223
17,4,1,1.0,1.0,0.1383492023833278
17,5,1,0.0,0.0,0.08435430957681894
17,7,1,0.0,0.0,0.15068620995265877
17,8,1,0.0,0.0,0.24667110031761863
17,9,1,0.0,0.0,0.304009810994257
17,10,1,1.0,1.0,0.22974215801281916
17,11,3,1.0,0.6666666666666666,0.03992830971892891
18,1,1,1.0,1.0,0.053487157382982514
18,2,2,1.0,1.0,0.02774324460188632
18,5,1,0.0,1.0,0.06561958796808912
18,6,1,1.0,1.0,0.060082833990064866
18,7,1,1.0,1.0,0.025969020783717822
18,8,1,0.0,0.0,0.19783893996562957
18,9,1,0.0,1.0,0.19905256885617767
18,10,3,1.0,0.6666666666666666,0.015330217673824142
19,1,1,1.0,1.0,0.054263267671111365
19,2,1,0.0,0.0,0.14923817093052277
19,3,1,1.0,1.0,0.11614370098645768
19,4,1,0.0,0.0,0.12429477506032449
19,6,1,0.0,0.0,0.10812593681425853
19,7,1,1.0,1.0,0.21819995821130173
19,8,1,1.0,1.0,0.22908002921014015
19,9,1,1.0,1.0,0.23921435458356172
19,10,1,1.0,1.0,0.2599563325188824
19,11,3,1.0,0.6666666666666666,0.028392266082438056
20,2,1,0.0,0.0,0.06876479671480734
20,3,1,1.0,1.0,0.10796695093331615
20,4,1,0.0,0.0,0.02977901464454588
20,5,1,0.0,0.0,0.020660747806294066
20,6,1,0.0,1.0,0.011175623055867556
20,7,1,0.0,0.0,0.024540898155304025
20,8,2,1.0,1.0,0.05341309306495601
20,9,1,0.0,1.0,0.1534275738771319
20,10,2,0.5,1.0,0.01827013451137538
21,2,3,0.5,0.6666666666666666,0.006191504931955305
21,4,1,1.0,1.0,0.046648473382009115
21,6,1,1.0,1.0,0.22023237077225113
21,7,1,0.0,0.0,0.08010649390379063
21,8,1,1.0,1.0,0.0804910353529748
21,9,2,0.5,1.0,0.08630510526851537
21,11,3,1.0,1.0,0.027833684418315796
22,2,1,1.0,1.0,0.014066032121650085
22,3,1,1.0,1.0,0.20359439533632923
22,4,1,1.0,1.0,0.08787299056573022
22,6,1,1.0,1.0,0.14373396775187175
22,7,2,0.5,0.5,0.008279539080376624
22,8,1,0.0,1.0,0.05678707858263837
22,9,2,0.5,1.0,0.03325209882868019
22,10,2,0.5,1.0,0.031765525344587875
23,2,1,1.0,1.0,0.04757574922494273
23,3,1,1.0,1.0,0.11736598445788421
23,4,2,0.5,0.5,0.04215505830267277
23,6,1,1.0,1.0,0.019473239301545542
23,7,1,0.0,1.0,0.038099813426336004
23,8,1,1.0,1.0,0.04165682418624772
23,9,1,1.0,1.0,0.14028069363783366
23,10,1,1.0,1.0,0.016302938877569784
23,11,3,1.0,1.0,0.05540455933435218
24,2,1,1.0,1.0,0.018685188427304655
24,3,1,1.0,1.0,0.038535126604247294
24,4,1,1.0,1.0,0.1854832505901124
24,5,1,1.0,1.0,0.03238693689279187
24,6,1,0.0,0.0,0.02854006542933568
24,7,2,0.0,0.5,0.0650547021398484
24,8,1,1.0,1.0,0.022386750307776315
24,9,1,1.0,1.0,0.2491693866698249
24,10,2,0.5,1.0,0.023019613982246057
25,2,2,0.5,0.5,0.002964949695712843
25,4,1,1.0,1.0,0.01673589241739659
25,5,1,1.0,1.0,0.07432358313455134
25,6,1,1.0,1.0,0.17870139582413821
25,7,2,0.5,0.5,0.04533575174679008
25,8,1,0.0,1.0,0.05934050725201023
25,9,1,0.0,1.0,0.14541010783166547
25,10,3,1.0,1.0,0.008204655543154526
26,1,2,0.5,1.0,0.0474861891251587
26,2,2,0.5,0.5,0.03203818388332791
26,3,3,1.0,0.6666666666666666,0.019909408291416936
26,4,2,1.0,1.0,0.019783379969966486
27,1,1,1.0,1.0,0.0497105629659417
27,2,1,1.0,1.0,0.09112120061997034
27,3,1,0.0,1.0,0.13537851751687857
27,4,1,0.0,0.0,0.17679583402239202
27,6,1,0.0,0.0,0.06493995701618632
27,7,2,0.0,0.5,0.03800410928502973
27,8,2,0.5,0.5,0.3426981978620264
27,9,3,0.5,0.6666666666666666,0.03337301155654582
28,2,2,0.5,0.5,0.02602031212693992
28,4,1,1.0,1.0,0.05636947741250209
28,6,1,0.0,0.0,0.2211898196918509
28,7,1,1.0,1.0,0.23116098899518397
28,8,1,0.0,1.0,0.2640034665736661
28,9,1,1.0,1.0,0.32668564812719136
28,10,1,1.0,1.0,0.052694023776856724
28,11,3,0.5,0.6666666666666666,0.021368227095792003
29,2,1,1.0,1.0,0.08491467332471109
29,3,1,1.0,1.0,0.16490268055339752
29,4,1,1.0,1.0,0.03505262279331908
29,5,1,1.0,1.0,0.04734517782918629
29,6,1,1.0,1.0,0.08599340765676361
29,7,2,1.0,1.0,0.014365565629180399
29,8,1,0.0,1.0,0.030402736027234978
29,9,1,0.0,1.0,0.0973012567550286
29,10,2,0.5,1.0,0.16641612331813313
29,11,3,1.0,0.6666666666666666,0.031115698924452095
30,2,1,1.0,1.0,0.18056023878951322
30,3,1,0.0,0.0,0.016259649697811934
30,4,2,1.0,1.0,0.003964379797518958
30,5,1,0.0,0.0,0.0377827689175434
30,6,1,1.0,1.0,0.01791918099093845
30,7,1,1.0,1.0,0.09064752950401284
30,8,2,0.5,0.5,0.04279923035300509
30,9,2,0.0,0.5,0.03455224483052227
30,10,3,0.5,0.6666666666666666,0.0020393752170868584
31,1,1,1.0,1.0,0.02581815207381183
31,2,1,1.0,1.0,0.0132909548262162
31,3,1,1.0,1.0,0.03241301567485816
31,4,1,1.0,1.0,0.04862521671766579
31,5,2,0.5,0.5,0.07355021690018038
31,6,1,1.0,1.0,0.07586333186526562
31,7,1,1.0,1.0,0.19190686118724384
31,8,2,1.0,1.0,0.07513190272494599
31,9,2,1.0,1.0,0.0922876649942248
31,10,3,1.0,0.6666666666666666,0.021096385334998358
32,1,1,1.0,1.0,0.0
32,2,1,0.0,0.0,0.002898932675256566
32,3,1,1.0,1.0,0.021933590650483614
32,4,1,0.0,0.0,0.021539962680118208
32,5,1,0.0,0.0,0.05893972201628078
32,6,1,0.0,0.0,0.025910250061500772
32,7,1,0.0,0.0,0.05230985877422517
32,8,1,1.0,1.0,0.14468517479813392
32,9,1,1.0,1.0,0.12598823649983226
32,11,4,1.0,1.0,0.01868623247717527
33,2,2,0.0,0.5,0.10154012439274168
33,3,2,1.0,1.0,0.21549860979354926
33,4,1,0.0,0.0,0.06379652709831449
33,5,1,1.0,1.0,0.048101235596197084
33,6,1,0.0,0.0,0.07293133034190558
33,7,1,1.0,1.0,0.10043257018571689
33,9,4,1.0,1.0,0.0049417476580788655
34,2,2,0.5,1.0,0.10122272533086638
34,3,1,1.0,1.0,0.15855431813418014
34,4,1,0.0,0.0,0.16528073049120157
34,6,1,1.0,1.0,0.1406785798107656
34,7,1,1.0,1.0,0.26540713367801916
34,8,1,1.0,1.0,0.23609165957812506
34,9,1,1.0,1.0,0.34959877003750006
34,10,1,0.0,0.0,0.059786075193650534
34,11,4,1.0,0.6666666666666666,0.026427494976205557
