season,celebrity_name,placement,pred_final_rank_survival,pred_final_rank_pct,pred_final_rank_rank,pred_final_rank_new,pred_final_rank_new_pct
6,Marissa Jaret Winokur,4,3,3,3,3,3
6,Mario,5,4,4,4,4,4
6,Shannon Elizabeth,6,5,5,5,5,5
6,Marlee Matlin,7,6,6,6,6,6
6,Priscilla Presley,8,7,7,7,7,7
6,Adam Carolla,9,8,8,8,8,8
6,Steve Guttenberg,10,9,9,9,9,9
6,Penn Jillette,12,10,10,10,11,11
6,Monica Seles,11,11,11,11,10,10
7,Lance Bass,3,1,2,2,2,1
7,Warren Sapp,2,2,1,1,1,2
7,Cody Linley,4,3,3,3,3,3
7,Maurice Greene,5,4,4,4,4,4
7,Susan Lucci,6,5,5,5,5,5
7,Cloris Leachman,7,6,6,6,6,6
7,Toni Braxton,8,7,7,7,7,7
7,Rocco DiSpirito,9,8,8,8,8,8
7,Misty May-Treanor,10,9,9,9,9,9
7,Kim Kardashian,11,10,10,10,10,10
7,Ted McGinley,12,11,11,11,11,11
7,Jeffrey Ross,13,12,12,12,12,12
8,Shawn Johnson,1,1,1,3,1,1
8,Gilles Marini,2,2,2,1,2,2
8,Melissa Rycroft,3,3,3,2,3,3
8,Ty Murray,4,4,4,4,4,4
8,Lil' Kim,5,5,5,5,5,5
8,Chuck Wicks,6,6,6,6,6,6
8,Lawrence Taylor,7,7,7,7,7,7
8,Steve-O,8,8,8,8,8,8
8,David Alan Grier,9,9,9,9,9,9
8,Holly Madison,11,10,10,10,10,10
8,Steve Wozniak,10,11,11,11,11,11
8,Denise Richards,12,12,12,12,12,12
8,Belinda Carlisle,13,13,13,13,13,13
9,Mya,2,1,1,2,1,1
9,Kelly Osbourne,3,2,2,1,2,2
9,Joanna Krupa,4,3,3,3,3,3
9,Aaron Carter,5,4,4,4,4,4
9,Michael Irvin,7,5,6,6,6,6
9,Mark Dacascos,6,6,5,5,5,5
9,Louie Vito,8,7,8,7,8,8
9,Melissa Joan Hart,9,8,7,8,7,7
9,Natalie Coughlin,10,9,9,9,9,9
9,Chuck Liddell,11,10,10,10,10,10
9,Debi Mazar,12,11,11,11,11,11
9,Tom DeLay,13,12,12,12,12,12
9,Kathy Ireland,14,13,13,13,13,13
9,Ashley Hamiliton,16,14,14,14,15,14
9,Macy Gray,15,15,15,15,14,15
10,Erin Andrews,3,1,1,1,1,1
10,Evan Lysacek,2,2,2,2,2,2
10,Chad Ochocinco,4,3,3,3,3,3
10,Niecy Nash,5,4,4,4,4,4
10,Pamela Anderson,6,5,5,5,5,5
10,Jake Pavelka,7,6,6,6,6,6
10,Kate Gosselin,8,7,7,7,7,7
10,Aiden Turner,9,8,8,8,8,8
10,Buzz Aldrin,10,9,9,9,9,9
10,Shannen Doherty,11,10,10,10,10,10
11,Kyle Massey,2,1,1,1,1,2
11,Bristol Palin,3,2,2,2,2,1
11,Brandy,4,3,3,3,3,3
11,Kurt Warner,5,4,4,4,4,4
11,Rick Fox,6,5,5,5,5,5
11,Audrina Patridge,7,6,6,6,6,6
11,Florence Henderson,8,7,7,7,7,7
11,The Situation,9,8,8,8,8,8
11,Margaret Cho,10,9,9,9,9,9
11,Michael Bolton,11,10,10,10,10,10
11,David Hasselhoff,12,11,11,11,11,11
12,Chelsea Kane,3,1,1,1,1,1
12,Kirstie Alley,2,2,2,2,2,2
12,Ralph Macchio,4,3,3,3,3,3
12,Romeo,5,4,4,4,4,4
12,Kendra Wilkinson,6,5,5,5,5,5
12,Chris Jericho,7,6,6,6,6,6
12,Petra Nemcova,8,7,7,7,7,7
12,Sugar Ray Leonard,9,8,8,8,8,8
12,Wendy Williams,10,9,9,9,9,9
